cjis,statutory_code,code_type,literal_display,t,lei,hier,sc,offense_descr,parens,PC1192_7_C,PC1192_8,PC667_5,code_section
20053,451.5(A)(2)(A),PC,"AGG ARSON:+$5,000,000 PD",F,924,2490,24,"451.5(A)(2)(A) PC-AGG ARSON:+$5,000,000PRP DMG",NA,TRUE,NA,TRUE,F_PC_451.5(A)(2)(A)
20054,451.5(A)(3),PC,AGG ARSON:5+ INHAB STRUCT,F,920,2490,24,451.5(A)(3) PC-AGG ARSON:5+ INHAB STRUCTURES,NA,TRUE,NA,TRUE,F_PC_451.5(A)(3)
20055,451.5,PC,AGGRAVATED ARSON,F,924,2490,24,451.5 PC-AGGRAVATED ARSON,NA,TRUE,NA,TRUE,F_PC_451.5
20059,451.5(A)(2)(A),PC,"AGG ARSON:+$6,500,000PD",F,924,2490,24,"451.5(A)(2)(A) PC-AGG ARSON:+$6,500,000PRP DMG",NA,TRUE,NA,TRUE,F_PC_451.5(A)(2)(A)
42065,23153,VC,DUI ALCOHL/DRG W/DETH/GBI,F,0,37600,20,23153 VC-DUI ALCOHOL/DRUGS W/DEATH/BODILY INJ,NA,TRUE,NA,NA,F_VC_23153
42066,23153(B),VC,DUI .10 ALCOHL W/DETH/GBI,F,0,37600,20,23153(B) VC-DUI .10 ALCOHOL W/DEATH/BODILY INJ,NA,TRUE,TRUE,NA,F_VC_23153(B)
42067,23153(A),VC,DUI ALC/DRUG W/DEATH/GBI,F,0,37600,20,23153(A) VC-DUI ALCOHOL/DRUGS W/DEATH/BOD INJ,NA,TRUE,TRUE,NA,F_VC_23153(A)
42068,23153(A)&(B),VC,DUI ALC/DRUG DEATH/INJURY,F,0,37600,20,23153(A)&(B) VC-DUI ALCOHOL/DRUGS DEATH/INJURY,NA,NA,TRUE,NA,F_VC_23153(A)&(B)
42069,23153(A),VC,DUI:ALC/DRUG:RSLT:BOD INJ,F,850,37600,20,23153(A) VC-DUI ALCOHOL/DRUGS CAUSE BODILY INJ,NA,NA,TRUE,NA,F_VC_23153(A)
42070,23153(B),VC,DUI .10 ALCOHOL W/GBI,F,850,37600,20,23153(B) VC-DUI .10 ALCOHOL CAUSE BODILY INJ,NA,TRUE,TRUE,NA,F_VC_23153(B)
42071,23153(A)&(B),VC,DUI ALC/DRUGS:GBI,F,0,37600,20,23153(A)&(B) VC-DUI ALCOHOL/DRUGS:BODILY INJ,NA,TRUE,TRUE,NA,F_VC_23153(A)&(B)
42074,23153(B),VC,DUI .08 ALCOHOL:BODLY INJ,F,850,37600,20,23153(B) VC-DUI .08 ALCOHOL:CAUSE BODILY INJ,NA,NA,TRUE,NA,F_VC_23153(B)
42076,23153(D),VC,DUI:ALC .04:CMRCL VEH:INJ,F,850,37600,20,23153(D) VC-DUI:ALC .04:COMMERCIAL VEH:W/INJ,NA,NA,TRUE,NA,F_VC_23153(D)
